,phrase,label,sentiment,subjectivity,language,count
WEB.DE News,WEB.DE News,MISC,0.4383333333333333,0.31666666666666665,de,11
brandenburgischen,brandenburgischen,MISC,,,de,11
Schlacht um Bachmut,Schlacht um Bachmut,MISC,,,de,11
US-amerikanischen,US-amerikanischen,MISC,,,de,11
Pelletspreise,Pelletspreise,MISC,,,de,11
ZDFheute,ZDFheute,MISC,,,de,11
Krieges in der Ukraine,Krieges in der Ukraine,MISC,,,de,11
iranischer,iranischer,MISC,,,de,11
Getreideabkommens,Getreideabkommens,MISC,-0.212,0.0,de,11
Wiener,Wiener,MISC,,,de,11
Wall Street Journal,Wall Street Journal,MISC,,,de,11
deutsch-russischen,deutsch-russischen,MISC,,,de,11
Russische Invasion,Russische Invasion,MISC,,,de,11
Krieg in Europa,Krieg in Europa,MISC,,,de,11
Invasion der Ukraine,Invasion der Ukraine,MISC,,,de,11
Getreideexporte,Getreideexporte,MISC,-0.5,0.0,de,11
Angriff auf Saporischschja,Angriff auf Saporischschja,MISC,,,de,10
Hauptstadtpresse,Hauptstadtpresse,MISC,,,de,10
Nord Stream,Nord Stream,MISC,-0.049999999999999996,0.0,de,10
hessische,hessische,MISC,,,de,10
in­nen,in­nen,MISC,,,de,10
Frankfurter,Frankfurter,MISC,,,de,10
iOS,iOS,MISC,,,de,10
finnische,finnische,MISC,,,de,10
Google Chrome,Google Chrome,MISC,,,de,10
Russisches,Russisches,MISC,,,de,10
Windkraft,Windkraft,MISC,,,de,10
ZTE,ZTE,MISC,,,de,10
News des Tages,News des Tages,MISC,,,de,10
Kreml-Truppen,Kreml-Truppen,MISC,,,de,10
niederländischen,niederländischen,MISC,,,de,10
Energie-Infrastruktur,Energie-Infrastruktur,MISC,-1.0,0.0,de,10
neuen Jahr,neuen Jahr,MISC,,,de,10
Berliner Senat,Berliner Senat,MISC,,,de,10
Erdgas,Erdgas,MISC,,,de,10
Air Defender,Air Defender,MISC,,,de,10
norwegische,norwegische,MISC,,,de,10
Operation,Operation,MISC,,,de,10
Heizungs-Pläne,Heizungs-Pläne,MISC,,,de,9
russischen Verteidigungsministerium,russischen Verteidigungsministerium,MISC,,,de,9
bayerische,bayerische,MISC,,,de,9
englischen,englischen,MISC,,,de,9
bayerischen,bayerischen,MISC,,,de,9
russische Militär,russische Militär,MISC,,,de,9
macOS,macOS,MISC,,,de,9
Bachmut,Bachmut,MISC,0.0023936170212765953,0.003989361702127659,de,9
afrikanischer,afrikanischer,MISC,,,de,9
Republikaner,Republikaner,MISC,,,de,9
How to Blow Up a Pipeline,How to Blow Up a Pipeline,MISC,,,de,9
Russisches Militär,Russisches Militär,MISC,,,de,9
Londoner,Londoner,MISC,,,de,9
Preis für europäisches Erdgas,Preis für europäisches Erdgas,MISC,,,de,9
GASTKOMMENTAR,GASTKOMMENTAR,MISC,,,de,9
Petersburger Dialog,Petersburger Dialog,MISC,,,de,9
griechische,griechische,MISC,,,de,9
Linux,Linux,MISC,,,de,9
Angriff,Angriff,MISC,-2.0,0.0,de,9
Ostfront,Ostfront,MISC,,,de,9
Cum-Ex-Affäre,Cum-Ex-Affäre,MISC,,,de,9
ungarischen,ungarischen,MISC,,,de,9
HeizkostenBeim,HeizkostenBeim,MISC,,,de,9
arabischen,arabischen,MISC,,,de,9
Leopard-Kampfpanzer,Leopard-Kampfpanzer,MISC,,,de,9
Aufstand in Russland,Aufstand in Russland,MISC,,,de,9
PCK-Raffinerie,PCK-Raffinerie,MISC,,,de,9
Extremismus,Extremismus,MISC,,,de,9
